SOURCE	TARGET
AT4G04640.1	AT3G26650.1
AT4G04640.1	AT2G21280.1
AT4G04640.1	ATCG00480.1
AT4G04640.1	AT4G32260.1
AT4G04640.1	AT4G09650.1
AT4G04640.1	AT1G55480.1
AT4G04640.1	AT1G54780.1
AT4G04640.1	AT3G12780.1
AT4G04640.1	AT5G22800.1
AT4G04640.1	AT5G17170.1
AT4G04640.1	ATCG01110.1
AT4G04640.1	AT5G66570.1
AT4G04640.1	AT4G01050.1
AT4G04640.1	AT5G08410.1
AT4G04640.1	AT1G55670.1
AT4G04640.1	AT4G37930.1
AT4G04640.1	ATCG00470.1
AT4G04640.1	AT5G01530.1
AT4G04640.1	AT5G66190.1
AT4G04640.1	AT3G50820.1
AT4G04640.1	AT4G10340.1
AT4G04640.1	AT1G32060.1
AT4G04640.1	AT2G05100.1
AT4G04640.1	AT1G20020.1
AT4G04640.1	AT1G09340.1
AT4G04640.1	ATMG01170.1
AT4G04640.1	AT3G18890.1
AT4G04640.1	AT3G63140.1
AT5G38660.2	AT3G14290.1
AT1G43670.1	AT1G07110.1
AT1G43670.1	AT4G29130.1
AT1G43670.1	AT2G21330.1
AT1G43670.1	AT1G32060.1
AT1G43670.1	AT4G38970.1
AT1G73110.1	AT3G14290.1
AT1G07110.1	AT1G43670.1
AT1G07110.1	AT2G31390.1
AT1G07110.1	AT4G29130.1
ATCG00490.1	ATCG00120.1
ATCG00490.1	ATCG00270.1
ATCG00490.1	AT1G67090.1
ATCG00490.1	ATCG00340.1
ATCG00490.1	ATCG00130.1
ATCG00490.1	AT2G39730.1
ATCG00490.1	ATCG00580.1
ATCG00490.1	AT1G32060.1
ATCG00490.1	ATCG00280.1
ATCG00490.1	ATCG00720.1
ATCG00490.1	ATCG00670.1
ATCG00490.1	ATCG01060.1
ATCG00490.1	ATCG00020.1
ATCG00490.1	ATCG00350.1
ATCG00490.1	ATCG00480.1
ATCG00490.1	ATCG00710.1
AT2G40510.1	ATCG00380.1
AT2G40510.1	AT5G65220.1
AT2G40510.1	ATCG01240.1
AT2G40510.1	AT5G10360.1
AT2G40510.1	AT2G25210.1
AT2G40510.1	ATCG00770.1
AT2G40510.1	AT3G56340.1
AT2G40510.1	ATCG01300.1
AT2G40510.1	ATCG01120.1
AT2G40510.1	AT3G51190.1
AT2G40510.1	AT5G14320.1
AT2G40510.1	AT5G22440.2
AT2G40510.1	AT4G31700.1
AT2G40510.1	ATCG00820.1
AT5G51820.1	AT5G47540.1
AT5G51820.1	AT5G64960.1
AT5G51820.1	AT3G11630.1
AT5G51820.1	AT4G29130.1
AT5G51820.1	AT1G04410.1
AT5G51820.1	AT3G12780.1
AT5G51820.1	AT2G42070.1
AT5G51820.1	AT3G14290.1
AT5G51820.1	AT3G12580.1
AT5G51820.1	AT5G06290.1
AT5G51820.1	AT1G64030.1
AT5G51820.1	AT5G19220.1
AT5G10360.1	AT2G18110.1
AT5G10360.1	ATCG00380.1
AT5G10360.1	AT1G27470.1
AT5G10360.1	AT5G65220.1
AT5G10360.1	ATCG01240.1
AT5G10360.1	AT2G25210.1
AT5G10360.1	ATCG00770.1
AT5G10360.1	AT3G56340.1
AT5G10360.1	ATCG01300.1
AT5G10360.1	ATCG01120.1
AT5G10360.1	AT2G40510.1
AT5G10360.1	AT3G51190.1
AT5G10360.1	AT5G14320.1
AT5G10360.1	AT5G22440.2
AT5G10360.1	AT4G31700.1
AT5G10360.1	ATCG00820.1
AT5G41010.1	AT5G64960.1
AT5G41010.1	AT5G09380.1
AT5G41010.1	AT5G09920.1
AT5G41010.1	AT2G03150.1
AT5G41010.1	AT2G37340.1
AT5G41010.1	AT2G29210.1
AT5G41010.1	AT2G24590.1
AT5G41010.1	AT3G12580.1
AT5G41010.1	AT5G64200.2
AT5G41010.1	AT3G57080.1
AT5G41010.1	AT5G63670.1
AT5G41010.1	AT4G09980.1
AT2G21280.1	AT2G36145.1
AT2G21280.1	AT4G04640.1
AT2G21280.1	AT1G23740.1
AT2G21280.1	AT2G05310.1
AT2G21280.1	AT3G26650.1
AT2G21280.1	AT4G09650.1
AT2G21280.1	AT1G54780.1
AT2G21280.1	AT5G17170.1
