SOURCE	TARGET
AT5G51940.1	AT1G11475.1
AT5G51940.1	AT1G54140.1
AT5G51940.1	AT3G13940.1
AT5G51940.1	AT4G19600.1
AT5G51940.1	AT5G59140.1
AT5G51940.1	AT2G37470.1
AT5G51940.1	AT5G22880.1
AT5G51940.1	AT2G27470.1
AT5G51940.1	AT1G18340.1
AT2G26200.1	AT5G30495.2
AT2G26200.1	AT3G23620.1
AT3G23830.2	AT2G19670.1
AT1G52500.2	AT5G37630.1
AT5G54190.1	AT5G43860.1
AT1G66750.1	AT5G51940.1
AT1G66750.1	AT4G15950.1
AT1G66750.1	AT5G59180.1
AT1G66750.1	AT2G04630.1
AT1G66750.1	AT5G61000.1
AT1G66750.1	AT1G11475.1
AT1G66750.1	AT1G54140.1
AT1G66750.1	AT4G19600.1
AT1G66750.1	AT5G59140.1
AT1G66750.1	AT2G27470.1
AT1G66750.1	AT1G18340.1
AT2G27470.1	AT5G51940.1
AT2G27470.1	AT4G15950.1
AT2G27470.1	AT1G56170.2
AT2G27470.1	AT3G48425.1
AT2G27470.1	AT5G59180.1
AT2G27470.1	AT2G04630.1
AT2G27470.1	AT5G08180.2
AT2G27470.1	AT5G61000.1
AT2G27470.1	AT1G66750.1
AT2G27470.1	AT1G11475.1
AT2G27470.1	AT1G18340.1
AT5G37350.1	AT3G01160.1
AT5G37350.1	AT1G23280.1
AT5G37350.1	AT2G34570.1
AT5G37350.1	AT3G13940.1
AT5G37350.1	AT2G18220.1
AT5G37350.1	AT5G14520.1
AT5G37350.1	AT4G01560.1
AT4G16630.1	AT1G26370.1
AT4G16630.1	AT5G08610.1
AT4G16630.1	AT3G01160.1
AT4G16630.1	AT1G23280.1
AT4G16630.1	AT3G15460.1
AT4G16630.1	AT3G49180.1
AT4G16630.1	AT5G06360.1
AT4G16630.1	AT4G25630.1
AT4G16630.1	AT1G52930.1
AT4G16630.1	AT4G09730.1
AT4G16630.1	AT1G29320.1
AT4G16630.1	AT5G08180.2
AT4G16630.1	AT5G26742.2
AT4G16630.1	AT5G19300.1
AT4G16630.1	AT3G13940.1
AT4G16630.1	AT4G01560.1
AT4G16630.1	AT2G40700.1
AT4G16630.1	AT4G02400.1
AT4G16630.1	AT5G14600.1
AT4G16630.1	AT5G57280.1
AT4G16630.1	AT5G17930.1
AT4G16630.1	AT5G27120.1
AT4G16630.1	AT5G30495.2
AT4G16630.1	AT1G30820.1
AT4G16630.1	AT1G11240.1
AT4G16630.1	AT2G47420.1
AT4G16630.1	AT3G23620.1
AT4G16630.1	AT3G12860.1
AT4G16630.1	AT2G19385.1
AT4G16630.1	AT2G43110.1
AT4G16630.1	AT2G37920.1
AT4G16630.1	AT2G42650.1
AT4G16630.1	AT2G34570.1
AT4G16630.1	AT2G47990.1
AT4G16630.1	AT5G20600.1
AT4G16630.1	AT2G18220.1
AT4G16630.1	AT5G14520.1
AT4G16630.1	AT4G27010.2
AT3G28500.1	AT1G77940.1
AT3G28500.1	AT2G05220.2
AT3G28500.1	AT3G52590.1
AT3G28500.1	AT1G29965.1
AT3G28500.1	AT3G11250.1
AT3G28500.1	AT4G34555.1
AT3G28500.1	AT1G77750.1
AT3G28500.1	AT3G60240.4
AT3G28500.1	AT2G18020.1
AT3G28500.1	AT1G52300.1
AT3G28500.1	AT3G16780.1
AT3G28500.1	AT5G56670.1
AT3G28500.1	AT3G10610.1
AT3G28500.1	AT3G05560.3
AT3G28500.1	AT4G09800.1
AT3G48210.1	AT2G32590.1
AT3G48210.1	AT5G38110.1
AT3G48210.1	AT5G37630.1
AT1G31710.1	AT4G14940.1
AT1G31710.1	AT4G37390.1
AT1G68590.1	AT2G24090.1
AT1G68590.1	AT3G56910.1
AT1G68590.1	AT5G30510.1
AT1G68590.1	AT2G38140.1
AT1G68590.1	AT3G44890.1
AT1G68590.1	AT1G50900.1
AT1G68590.1	AT1G02150.1
AT5G06360.1	AT1G77940.1
AT5G06360.1	AT5G08610.1
AT5G06360.1	AT3G01160.1
AT5G06360.1	AT4G02400.1
AT5G06360.1	AT1G23280.1
AT5G06360.1	AT2G05220.2
AT5G06360.1	AT5G57280.1
AT5G06360.1	AT3G52590.1
AT5G06360.1	AT5G27120.1
AT5G06360.1	AT5G30495.2
AT5G06360.1	AT1G29965.1
AT5G06360.1	AT4G16630.1
AT5G06360.1	AT3G11250.1
AT5G06360.1	AT3G15460.1
AT5G06360.1	AT3G49180.1
AT5G06360.1	AT4G34555.1
AT5G06360.1	AT1G11240.1
AT5G06360.1	AT2G47420.1
AT5G06360.1	AT4G25630.1
AT5G06360.1	AT3G23620.1
AT5G06360.1	AT1G77750.1
AT5G06360.1	AT3G12860.1
AT5G06360.1	AT1G52930.1
AT5G06360.1	AT2G19385.1
