PHOS_LOGFC0	PHOS_LOGFC1	PHOS_LOGFC2	PHOS_LOGFC3	ID	SAMPLE
-0.09597090306845267	-0.6818525025146265	0.5854273185875212	-0.04258193041321696	AT5G21010.1	1
-0.09142696362222154	-0.38885769928883374	0.3541824537540467	-0.16065934087974104	AT5G21010.1	2
0.03175480720613989	-0.5873964483916514	0.25402666826635134	-0.034244495591056315	AT5G21010.1	3
-0.028223792803687843	-0.43563347629195676	0.5361013108843173	0.04292391951492873	AT5G22010.1	1
0.0	0.0	0.0	0.0	AT5G22360.1	1
-0.12495061028026903	-0.9325320234963342	0.8734510281107893	-0.14527988650551746	AT5G22360.1	2
0.0	0.0	0.0	0.0	AT5G22650.1	1
-0.3034953995018238	-0.48673238339149927	0.4360058512553388	-0.3371549502494792	AT5G22650.1	2
-0.038850928971357876	-0.8702395178254207	0.6689967834946122	-0.06765943208607307	AT5G22650.1	3
0.5747326392697751	-0.5796932001715087	0.718717824685356	0.08510833672417184	AT5G23060.1	1
0.2944571167564217	-0.6202605786037274	0.3771675297024826	0.0008414000264886479	AT5G23080.1	1
0.0	0.0	0.0	0.0	AT5G23910.1	1
-0.054925328194426574	-2.632505170188944	2.3635428978664996	-1.060058020324722	AT5G23910.1	2
-0.28928972272118136	-0.3372405908932607	0.3136109888168451	-0.14056874382952994	AT5G24890.1	1
-0.2694414411524954	-1.11835091233439	0.8214522409261393	-0.1327803793953793	AT5G24890.1	2
0.24348241162882212	-0.759676542818345	0.5297281055731036	-0.0731153240032735	AT5G25270.1	1
0.0	0.0	0.0	0.0	AT5G25510.1	1
-0.18650007106206154	-1.0063819983488311	0.8235376685712186	-0.2155517492460673	AT5G26860.1	1
-0.06996255816756737	-1.2406893696990495	1.004580741955992	-0.39519305008027755	AT5G26860.1	2
-0.3878399964933643	-1.2231531476473467	1.128230763747351	-0.4065340094995582	AT5G27000.1	1
-0.38009094076545236	-0.4638349899684537	0.7935452027567764	-0.2060031873243393	AT5G35430.1	1
0.0	0.0	0.0	0.0	AT5G35430.1	2
0.0	0.0	0.0	0.0	AT5G35550.1	1
0.0	0.0	0.0	0.0	AT5G35550.1	2
0.0	0.0	0.0	0.0	AT5G35550.1	3
-0.03818049039477072	-0.4145223660295811	0.34668115142900785	0.1925185024292038	AT5G35670.1	1
0.18249723541192087	-0.20062418435066223	0.30852794937540345	-0.4448915990527381	AT5G35670.1	2
0.044328666561832764	-0.46671332246041497	0.36060348486481697	-0.08945163983162502	AT5G35910.1	1
0.0	0.0	0.0	0.0	AT5G35980.1	1
