Reporter.intensity.0.P_LF1	Reporter.intensity.0.P_LF2	Reporter.intensity.1.P_LF1	Reporter.intensity.1.P_LF2	Reporter.intensity.2.P_LF1	Reporter.intensity.2.P_LF2	Reporter.intensity.3.P_LF1	Reporter.intensity.3.P_LF2	Reporter.intensity.4.P_LF1	Reporter.intensity.4.P_LF2	Reporter.intensity.5.P_LF1	Reporter.intensity.5.P_LF2	Reporter.intensity.6.P_LF1	Reporter.intensity.6.P_LF2	Reporter.intensity.7.P_LF1	Reporter.intensity.7.P_LF2	Reporter.intensity.8.P_LF1	Reporter.intensity.8.P_LF2	Reporter.intensity.9.P_LF1	Reporter.intensity.9.P_LF2
7868.16263037412	6135.82180023213	7423.70335243195	8836.0637612388	7609.64936025706	8087.20681626326	7576.61776002903	7764.40762615286	7354.55604725259	8214.26486105138	7631.98004534242	7057.30351449694	7244.70674639524	7217.98591748692	6473.86922901995	6512.91265346368	6751.19686349772	6955.85948978269	6440.030881293	6640.86042199152
7558.84260888063	6248.46972972447	7196.70211800271	7032.31558733938	7348.20886314785	7694.53317290947	7321.29508158288	7056.35305691789	7140.36166054511	7685.92226722439	7366.40365772137	6781.62116352372	7050.85766837004	7446.48426394588	6422.7878073428	7481.3003181741	6648.75128851657	7088.68559048347	6395.21669686205	6760.31166129185
7179.82551393542	8292.50165563764	6747.07393763356	7305.21902652079	6928.1218580773	7036.11362646293	6895.96035807974	6644.88546570965	6679.74807270407	6731.49969190234	6949.8643205484	6190.55485672822	6572.79236166173	6505.0759731546	5822.25982185012	5780.73342341243	6092.28224443962	5985.37997343615	5789.31282525217	5862.9381261227
5272.08224492546	6413.55146110456	5994.26944830625	5945.89446224899	5854.64684250699	5184.26447607634	6221.44528570598	5706.43763369283	5519.91375698062	5569.73578562722	5691.51817367866	5684.11406258691	5153.35356532383	5500.76627543517	5590.06629144416	5338.15290282553	5913.07886210947	5088.28388580814	5026.48251007939	5297.30258472209
7732.82746645562	7716.62843784723	8197.46891337889	7148.56777074172	7212.81946506646	6223.41955508031	7483.44334669616	6857.70073335008	7511.30149628844	6691.64966772562	6685.28628464392	6830.58440081227	6324.72881377314	6607.87274133403	5740.63369372231	6410.34707369521	5753.07501105733	6106.83240195235	5201.98064932746	6360.72639227678
6200.35768718987	7109.28299094862	5792.22575791774	6231.34834713695	5962.97369069908	5479.08614917004	5932.64188889616	5724.22902559161	5728.73012520762	5529.30428754241	5983.47920388817	5346.13636115296	5627.85922586296	5632.65923911135	4920.02519306175	5227.89228686935	5174.68578429508	4860.69752312417	4888.95258230396	5215.65997151592
9084.6022488244	9512.53502455641	8589.00257086709	11373.2119908552	8796.34390936326	11558.074406203	8759.51162517467	9622.29153475877	8511.8990343245	8471.99963629906	8821.24400907119	8336.22082286825	8389.41024664345	7456.13168600017	7529.87857675149	7220.22334819471	7839.11610009043	6582.4852388887	7492.14671903501	5721.06097426376
5141.48724190307	6833.51605115786	7512.76056493678	8755.2664758303	11334.5447954143	10448.0638975651	11640.5659751265	10676.9625598847	13160.3357327288	11106.7160917413	13577.112892236	14195.6256443194	15671.8793151737	16081.0270239035	19738.1627978308	18377.8704329088	15920.401985541	20827.1297773908	21743.2346543281	20648.1692946852
6818.0242834647	7962.91974575173	5574.49033619306	7385.3656603395	6286.48674012225	6444.75638652786	6187.97682927861	7089.6376589391	6283.98012041146	6920.81155128563	6379.56040987044	7062.06815880383	7007.93652085104	6835.63454660532	7817.66941671462	6634.80783402924	9286.34762300723	6326.22083126976	8539.4199790218	6584.35789279289
6105.45981750789	6267.11826694639	5822.67432505748	5706.60535434981	5940.98175163538	5569.81890389615	5919.96552405171	5573.87708860918	5778.67962021681	5580.64071256844	5955.1895634463	5759.40109050873	5708.78842842507	5693.4982552235	5218.34604648297	5915.85717033087	5394.79467873789	5382.58468027835	5196.81652893082	5633.97650735202
6105.45981750789	6267.11826694639	5822.67432505748	5706.60535434981	5940.98175163538	5569.81890389615	5919.96552405171	5573.87708860918	5778.67962021681	5580.64071256844	5955.1895634463	5759.40109050873	5708.78842842507	5693.4982552235	5218.34604648297	5915.85717033087	5394.79467873789	5382.58468027835	5196.81652893082	5633.97650735202
5832.0775977133	6663.22851244044	5329.60252414952	6210.24778733394	6027.18243218565	5472.51969977486	5760.49401210219	5978.30572702796	5878.66248144925	5845.8939328889	5798.62941762975	5956.68272672802	6230.39852082188	5779.08886247727	6172.77443811699	5621.57871376361	6499.92302703937	5379.5512261238	5620.4800844963	5582.01038321235
7245.42777452194	5214.77371261362	6832.82565714069	6327.70056101991	7005.44375817899	7524.61656412731	6974.77973816421	7159.82849133435	6768.63456935351	7165.92187279571	7026.17386418882	7073.58549272301	6666.658851046	6528.37482695604	5951.07205241169	6733.57952548221	6208.52189061431	7112.7568686798	5919.65910950842	6442.25081947478
5590.86981109546	7212.66943925845	5631.94610205053	6714.51520737566	7101.83048246142	5903.21717982726	6522.25242062265	6459.44272307543	6961.3031526756	6313.82616160682	6255.89790197942	6435.6633688813	6281.02973589748	6240.35895496363	6581.47341690353	6067.14110529077	6372.48632956327	5800.97742432756	6761.764954298	6023.62682262894
8502.26404585201	7358.35147624628	7220.88964327974	7319.88351252258	8188.84103903354	8765.29468748929	8531.81568391599	8773.47746735713	8840.63704391386	8273.81976904503	8288.32212816479	8388.71785448796	8363.67117313398	8291.64049742505	8004.25544414113	8633.46066304708	7563.95944938145	7782.36746330026	6988.00918512782	7087.85549915378
7738.36277985808	7772.21073301002	7873.25644510557	7227.91368639115	6788.89161882765	6341.46709603837	7666.88219004774	6949.21445833557	7082.6569839667	6790.1097889913	6901.75490391605	6923.23248040587	6604.13014789739	6709.83749370619	6446.25143920567	6520.57489597161	6514.48723619746	6229.75712068557	5379.80909614524	6473.02999115557
8400.55262090743	7076.74168529986	8000.37946615736	6741.04110649296	8167.79772978113	8284.26591412885	8138.0574131184	8172.82638054833	7938.12202969613	8024.31578074614	8187.90337531905	8740.73267547793	7839.21816278913	8036.11208963744	7145.18724379025	8305.99450314016	7394.88182751494	8208.48320655421	7114.72056431374	8008.52089776995
