Reporter.intensity.0.LF1	Reporter.intensity.0.LF2	Reporter.intensity.1.LF1	Reporter.intensity.1.LF2	Reporter.intensity.2.LF1	Reporter.intensity.2.LF2	Reporter.intensity.3.LF1	Reporter.intensity.3.LF2	Reporter.intensity.4.LF1	Reporter.intensity.4.LF2	Reporter.intensity.5.LF1	Reporter.intensity.5.LF2	Reporter.intensity.6.LF1	Reporter.intensity.6.LF2	Reporter.intensity.7.LF1	Reporter.intensity.7.LF2	Reporter.intensity.8.LF1	Reporter.intensity.8.LF2	Reporter.intensity.9.LF1	Reporter.intensity.9.LF2
31980.4712263371	35390.3060441214	42301.7734832803	48174.5656452696	41574.1728856008	24945.2806979904	43303.3789352149	40314.8413548974	37243.0830814768	34342.1615729181	47698.2591161186	40871.1304849637	39462.6755694632	39890.2304105219	27839.0743687674	32835.6643744163	34694.8436805023	34317.2047975191	27039.3527773806	35454.0754392792
81659.8165800801	72562.0042238965	72593.9091007896	80704.0523050061	62767.9644483056	48445.6664844807	60006.9802320791	59201.802599656	51171.8331416319	47666.0786878613	57296.7760949909	59033.0140673721	50947.9409742008	53053.3195606523	37640.2860217375	44019.6776981029	40829.2662842243	43630.7935420973	33631.9400118488	43849.852979511
15332.5609962182	26942.7858209234	31145.7625078813	35509.9926227528	38838.6183461799	18037.547456603	47140.6471099581	39477.2998987681	41167.3301861502	42073.0449071095	51303.7199146313	44596.4661442049	45436.7208268586	46244.988898015	37378.3945624287	38795.7694144591	41702.4005875746	41807.6177891452	32247.9503480424	43157.6279615531
32624.8816164381	47965.9781097533	37952.0511366825	45743.1160968772	44519.16196799	26656.1561529186	49453.4193439115	40628.8910894614	45488.0408090116	42029.4428216037	54831.8948832429	46852.9146919689	49245.2491741546	49338.6560094464	39795.1116923837	43261.8685078441	44727.3671049305	45028.2269650575	38940.1426650066	44726.5585252664
90186.8842448889	89336.1157524947	127733.884945636	144789.957597505	137401.530184569	132091.268770055	108001.167643353	114564.869770494	100457.496444095	94875.5415972586	96174.3685880766	99665.6083663012	101026.384613894	97032.1025771113	84735.6490890253	89125.1156440613	84011.5936257619	86548.769794935	78355.6904909216	79295.0760029881
16968.0986747671	24024.5703273206	29613.879271312	32749.44418444	29385.1953876031	9096.12185491293	34705.0683884262	30318.6655264508	30239.819570187	31092.0899174385	41404.5039298481	34075.1112826206	33256.3565726062	35181.9437088406	23920.1323970368	28705.1363810162	31088.7767303023	29762.8406660399	22864.4120786607	32169.3438496215
35409.879534946	42617.4407298288	46498.9541290784	46794.7052189952	50460.1865818625	30848.2921486443	52397.7479196352	49204.9456082845	50971.487359898	51972.2719299395	59856.8889411776	55170.2554127866	57513.6895161658	59186.9093984682	54049.2078253434	54324.8662851688	57211.3833856431	57467.3915982558	48780.1921572597	59915.3356914873
28657.5309784316	36578.4884162745	38049.0495222666	36516.2264087802	47775.8562615726	26190.9175280709	56436.4054395003	45061.6662036688	49725.1714447482	52284.3552651487	62074.9085359247	55537.5981442846	55405.9289839075	58973.4316387226	45062.1196992803	51909.1470045109	52292.0607989928	60078.6979174754	42547.3736432502	59559.9137889426
9218.03174196536	18967.6577686189	18323.4409385881	24232.0947457563	26118.4710358216	3183.27263229084	31244.8136897421	24165.6884230082	25731.7352129103	24737.9269519124	38122.8473967452	29761.3166916912	31355.7991252739	32065.0637358533	21140.848953751	25418.217251994	26078.1235406162	27481.6041460642	18565.002039974	29862.5147342682
31183.7511319595	42278.2620688022	48138.3387134495	44516.279066961	68071.590970953	47664.4376241284	74508.0099173952	70570.8442088873	78414.4762528429	83211.3704769097	95440.7202136391	89478.4528587496	88671.400066438	92332.5512017676	75280.0749049612	83571.9257405638	74828.3018775688	78274.9627191306	68037.22897719	79634.2216335763
120572.902638827	132469.518839053	252733.201113237	205619.532091484	238856.105966482	248928.642961408	258070.467640049	247283.189543455	220415.004426946	244144.185351811	213984.223632471	230120.877125112	198882.436444026	208258.679569037	199825.688522165	201823.192249034	217544.834868237	222530.176331882	184102.174819664	204809.174271884
38492.2258584227	41643.2449251843	36668.9383465331	45481.0087469095	54401.2815615765	31594.2175516026	53212.591029488	54813.1739596833	58677.2809172868	56840.1704477606	65102.7419377491	58777.7367970196	59500.4686236719	57835.081547731	51998.9132636442	59255.6485569668	53321.1748501995	57467.8635086341	55854.5339047266	58837.6889994482
21228.2276372661	22486.614956787	27077.7668496568	29994.5011346498	30194.8705262391	8575.18853491802	36883.2684566731	30856.2959240512	30431.9554852058	30881.9327617602	41220.1858827351	35415.7353898847	33451.6375706	37829.8450773856	25603.5212571357	31324.5771882612	33032.8704763711	32986.9980147721	26552.4982008099	35537.5091736973
85302.5813673249	85890.7561005246	85391.8735185726	89290.7461605423	82574.4609990134	71452.3914971578	82673.9996226649	78614.7364279804	76924.677244908	78118.049251818	82312.8667743036	77153.0709244096	75696.788704211	77656.6480108533	73809.2381739076	71683.0907281663	76484.7027952436	81246.7935893699	71450.4224154356	79328.8891173915
13346.5437557912	26746.3369301314	21741.2867246017	29729.6288612323	29481.2376223569	9929.15996180705	34572.8318117946	30181.9347255798	29630.8040650153	27623.0787783489	40826.1733634039	32100.526837859	34520.6513888088	33278.6336666523	24931.197170424	28200.6491027665	29908.7476965581	27904.7940673741	23568.3450391535	31728.1864512381
9262.02268001005	18474.9011313556	19814.7239288997	27289.9664251366	29036.989357592	6316.50252202732	34164.5909724031	27551.5531731581	27708.5633986545	29115.5861721837	41132.6665428069	33996.1521448902	34605.3193222814	36577.698423754	27702.7629225058	30682.0135295976	32803.3800271181	31752.1830532798	26002.7564596601	35149.7556942205
